"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OPEN INTEREST "
"02-JUN-2025","26-SEP-2025","FF","-","-","-","-","85.50","85.50","86.19","-","-","-","643","-"
"30-MAY-2025","26-SEP-2025","FF","-","-","-","-","85.50","85.50","86.37","-","-","-","643","-"
"29-MAY-2025","26-SEP-2025","FF","-","-","-","-","85.50","85.50","86.23","-","-","-","643","-"
"28-MAY-2025","26-SEP-2025","FF","-","85.50","85.50","85.50","85.50","85.50","86.02","100","85,50,000.0000","85,50,000.0000","643","100"
"27-MAY-2025","26-SEP-2025","FF","-","-","-","-","85.00","85.00","86.06","-","-","-","543","-"
"26-MAY-2025","26-SEP-2025","FF","-","-","-","-","85.00","85.00","85.78","-","-","-","543","-"
"23-MAY-2025","26-SEP-2025","FF","-","-","-","-","85.00","85.00","86.03","-","-","-","543","-"
"22-MAY-2025","26-SEP-2025","FF","-","-","-","-","85.00","85.00","86.67","-","-","-","543","-"
"21-MAY-2025","26-SEP-2025","FF","-","-","-","-","85.00","85.00","86.25","-","-","-","543","-"
"20-MAY-2025","26-SEP-2025","FF","-","-","-","-","85.00","85.00","86.28","-","-","-","543","-"
"19-MAY-2025","26-SEP-2025","FF","-","-","-","-","85.00","85.00","86.18","-","-","-","543","-"
"16-MAY-2025","26-SEP-2025","FF","-","-","-","-","85.00","85.00","86.33","-","-","-","543","-"
"15-MAY-2025","26-SEP-2025","FF","-","-","-","-","85.00","85.00","86.21","-","-","-","543","-"
"14-MAY-2025","26-SEP-2025","FF","-","-","-","-","85.00","85.00","85.99","-","-","-","543","-"
"13-MAY-2025","26-SEP-2025","FF","-","-","-","-","85.00","85.00","85.97","-","-","-","543","-"
"09-MAY-2025","26-SEP-2025","FF","-","-","-","-","85.00","85.00","86.15","-","-","-","543","-"
"08-MAY-2025","26-SEP-2025","FF","-","-","-","-","85.00","85.00","86.22","-","-","-","543","-"
"07-MAY-2025","26-SEP-2025","FF","-","-","-","-","85.00","85.00","85.51","-","-","-","543","-"
"06-MAY-2025","26-SEP-2025","FF","-","-","-","-","85.00","85.00","85.11","-","-","-","543","-"
"05-MAY-2025","26-SEP-2025","FF","-","-","-","-","85.00","85.00","85.10","-","-","-","543","-"
"02-MAY-2025","26-SEP-2025","FF","-","85.05","85.05","84.82","85.00","85.00","85.17","140","1,18,91,087.5000","1,18,91,087.5000","543","-92"
"30-APR-2025","26-SEP-2025","FF","-","86.00","86.00","85.55","85.55","85.55","85.31","45","38,57,500.0000","38,57,500.0000","635","-45"
"29-APR-2025","26-SEP-2025","FF","-","-","-","-","86.15","86.15","85.96","-","-","-","680","-"
"28-APR-2025","26-SEP-2025","FF","-","-","-","-","86.15","86.15","85.85","-","-","-","680","-"
"25-APR-2025","26-SEP-2025","FF","-","-","-","-","86.15","86.15","86.29","-","-","-","680","-"
"24-APR-2025","26-SEP-2025","FF","-","-","-","-","86.15","86.15","86.15","-","-","-","680","-"
"23-APR-2025","26-SEP-2025","FF","-","-","-","-","86.15","86.15","86.28","-","-","-","680","-"
"22-APR-2025","26-SEP-2025","FF","-","-","-","-","86.15","86.15","86.03","-","-","-","680","-"
"21-APR-2025","26-SEP-2025","FF","-","86.15","86.15","86.15","86.15","86.15","86.03","1","86,150.0000","86,150.0000","680","-"
"17-APR-2025","26-SEP-2025","FF","-","-","-","-","85.55","85.55","86.26","-","-","-","680","-"
"16-APR-2025","26-SEP-2025","FF","-","-","-","-","85.55","85.55","86.53","-","-","-","680","-"
"15-APR-2025","26-SEP-2025","FF","-","-","-","-","85.55","85.55","86.72","-","-","-","680","-"
"11-APR-2025","26-SEP-2025","FF","-","-","-","-","85.55","85.55","86.99","-","-","-","680","-"
"09-APR-2025","26-SEP-2025","FF","-","-","-","-","85.55","85.55","87.68","-","-","-","680","-"
"08-APR-2025","26-SEP-2025","FF","-","-","-","-","85.55","85.55","87.21","-","-","-","680","-"
"07-APR-2025","26-SEP-2025","FF","-","-","-","-","85.55","85.55","86.79","-","-","-","680","-"
"04-APR-2025","26-SEP-2025","FF","-","-","-","-","85.55","85.55","86.16","-","-","-","680","-"
"03-APR-2025","26-SEP-2025","FF","-","-","-","-","85.55","85.55","86.58","-","-","-","680","-"
"02-APR-2025","26-SEP-2025","FF","-","-","-","-","85.55","85.55","86.54","-","-","-","680","-"
"28-MAR-2025","26-SEP-2025","FF","-","-","-","-","85.55","85.55","86.59","-","-","-","680","-"
"27-MAR-2025","26-SEP-2025","FF","-","-","-","-","85.55","85.55","86.75","-","-","-","680","-"
"26-MAR-2025","26-SEP-2025","FF","-","86.26","86.26","85.55","85.55","85.55","85.55","100","85,96,510.0000","85,96,510.0000","680","-"
